Date,alt_port_returns,oil_port_returns
2000,-0.09046389869051663,-0.006126826488381781
2001,-0.14835181087583693,-0.02990624815224663
2002,-0.6078410265837453,-0.11072426704611193
2003,1.5252537696199864,0.2576613823220954
2004,0.08642437319243532,0.23702730833284352
2005,0.2895448849272778,0.1264584858340594
2006,0.1546112606245563,0.23717947700825348
2007,0.17288103891386652,0.2225597156694864
2008,-0.32435881568818503,-0.24755737764747035
2009,0.39705539178526394,0.12209922127840514
2010,0.026782620937517293,0.07997485364552145
2011,-0.12368404052124551,0.14738546648443995
2012,-0.16566708341413314,0.02408519234839221
2013,0.5662495475825771,0.18428948938499773
2014,0.2921015419392605,-0.08388991079981595
2015,-0.4096919281933554,-0.17825722869977034
2016,0.24461880041971582,0.3029719414039178
2017,0.20789350290146522,0.13088955394526344
2018,0.048818990552964736,-0.09159951588875773
2019,0.7829837341197277,0.07832709016310185
2020,2.3262131380652167,-0.36857118324475735
