Date,XOM Price,CVX Price,BP Price,RDS-B Price
1980,0.5778754949569702,1.5620779991149902,2.1801464557647705,1.3070966005325317
1981,0.9421482682228088,2.85781192779541,3.757967710494995,1.8114105463027954
1982,0.7828280329704285,2.3971076011657715,2.1343159675598145,1.2350525856018066
1983,0.8369331955909729,1.799630045890808,1.839701533317566,1.0909621715545654
1984,1.1556452512741089,1.9651949405670166,2.278348684310913,1.3688493967056274
1985,1.523469090461731,1.8432645797729492,2.173597812652588,1.240198016166687
1986,1.9954288005828857,2.4309616088867188,2.572964906692505,1.60042142868042
1987,2.7986068725585938,3.172823667526245,2.631887674331665,2.41349720954895
1988,3.2875816822052,3.003140926361084,3.180865526199341,3.3885443210601807
1989,3.6871912479400635,3.4878857135772705,3.133662700653076,3.314009189605713
1990,4.487096786499023,5.543826580047607,4.0664873123168945,4.675061225891113
1991,4.78925895690918,6.054174900054932,5.062280178070068,5.4554595947265625
1992,5.933540344238281,6.024111270904541,4.582562446594238,6.1353373527526855
1993,6.3613362312316895,6.401671409606934,3.341073751449585,5.845755577087402
1994,6.91195011138916,8.416119575500488,4.8917999267578125,7.752618789672852
1995,6.887462139129639,8.873916625976562,6.322627544403076,8.018921852111816
1996,9.563018798828125,10.974640846252441,8.449957847595215,10.595934867858887
1997,12.111799240112305,14.15874195098877,11.88548469543457,13.67041015625
1998,15.670985221862793,17.272645950317383,13.947869300842285,18.811315536499023
1999,18.839170455932617,18.74533462524414,16.5474796295166,16.27948760986328
2000,20.760025024414062,19.634136199951172,22.004932403564453,21.649581909179688
2001,24.13520050048828,20.81239128112793,18.68282127380371,23.36345863342285
2002,21.920358657836914,22.314401626586914,18.199758529663086,19.653223037719727
2003,20.124691009521484,17.533105850219727,16.891576766967773,19.736515045166016
2004,23.700149536132812,23.130416870117188,21.033044815063477,23.383800506591797
2005,29.928272247314453,28.311689376831055,25.108163833618164,27.061094284057617
2006,35.63906478881836,33.904090881347656,30.15435791015625,32.81120681762695
2007,46.051055908203125,42.04169845581055,30.95106315612793,35.54759979248047
2008,59.068382263183594,56.944427490234375,35.706939697265625,43.4499626159668
2009,52.590728759765625,48.04326248168945,24.92437171936035,29.357532501220703
2010,45.57538604736328,51.53532028198242,32.59112548828125,35.211082458496094
2011,50.46284866333008,62.16826629638672,25.256437301635742,41.57841491699219
2012,59.59367752075195,76.98395538330078,25.646650314331055,50.215389251708984
2013,63.03042221069336,79.59347534179688,25.815168380737305,48.42674255371094
2014,72.80927276611328,92.45291137695312,30.697708129882812,53.3851318359375
2015,69.67951202392578,86.8333969116211,25.638011932373047,51.98277282714844
2016,60.13707733154297,71.63825225830078,22.214223861694336,37.12229537963867
2017,73.05604553222656,99.25127410888672,29.307249069213867,50.73183822631836
2018,70.94755554199219,111.71467590332031,34.90754699707031,63.82099914550781
2019,60.55791091918945,100.66447448730469,33.620872497558594,59.06223678588867
2020,64.56011962890625,114.91845703125,35.333946228027344,60.68000030517578
